model,node_count,agent_count,tokens_per_second,simulated_duration_ms,completed_token_count,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,remote_expert_route_fraction,mean_compute_busy_fraction,mean_memory_bandwidth_busy_fraction,maximum_network_link_busy_fraction
Kimi K3,7,5,91.7559827641718,1450.0,130,54.29881079458775,60.721229972371816,1.0185,0.8662790697674418,0.6562199176054435,0.6562199176054435,0.017357239625805113
Kimi K3,7,6,98.7310223622805,1300.0,128,59.328269673270725,72.43852668306327,1.021794221996959,0.8482142857142857,0.7203450336185495,0.7203450336185495,0.016069644847438953
Kimi K3,7,7,118.25370818496877,1150.0,133,58.87787154549833,66.92023722662461,1.031472081218274,0.857824427480916,0.8427673488245242,0.8427673488245242,0.017964316723794012
Kimi K3,7,8,101.28173252381659,1300.0,132,77.06605297021838,90.84986323482191,1.0324837581209396,0.8519230769230769,0.7353416023230483,0.7353416023230483,0.017163876158239465
Kimi K3,7,10,112.58218340945055,1150.0,130,88.42230509151601,96.23211613872587,1.050893340552247,0.861,0.7906490152069531,0.7906490152069531,0.019600584408182947
Kimi K3,7,15,145.4304706545504,1050.0,154,99.16486398534389,109.95724137736923,1.1071428571428572,0.8610641891891891,0.9810822927445243,0.9810822927445243,0.024261103672427325
Kimi K3,7,22,186.79566180928856,1250.0,234,115.5122268468168,134.88133046522915,1.1756527636486944,0.8513127853881278,0.9920544380435691,0.9920544380435691,0.029411619996028628
Kimi K3,7,32,224.004264231697,1450.0,327,138.17395445352653,164.18466338847935,1.310734463276836,0.8579365079365079,0.9996126357802091,0.9996126357802091,0.03428800183454716
Kimi K3,7,46,272.7702214163812,1700.0,469,162.09252079659706,187.4244878407798,1.4661177960734642,0.8525605726872246,0.9988836508353909,0.9988836508353909,0.037868675934900134
Kimi K3,7,68,351.57622750257906,1950.0,683,188.74522234698307,222.3439622021892,1.7806186304308957,0.8621794871794872,0.9986377647776116,0.9986377647776116,0.047620758680248225
Kimi K3,7,100,479.2293234693718,2100.0,1000,208.61612716069476,239.2464313024237,2.4344885883347422,0.8542354235423543,0.9997072656650776,0.9997072656650776,0.06232863830802687
Kimi K3,7,147,614.3641313028124,2400.0,1470,237.50031553240217,279.34141853166744,3.2243716679360244,0.8569568452380952,1.0,1.0,0.08003942228972884
Kimi K3,7,215,744.466891508276,2900.0,2168,271.6031412766363,315.5959247964715,4.461517797179315,0.8563285248953001,1.0,1.0,0.10226455291695741
Kimi K3,7,316,1000.462020522879,3200.0,3160,315.21555625637,358.3219559907184,6.253985706432106,0.8591896371249128,1.0,1.0,0.12401562950252232
Kimi K3,7,464,1218.8428090030325,3850.0,4640,379.7506806962599,442.028034159868,8.84980132450331,0.8576089559386973,1.0,1.0,0.14979508868759273
Kimi K3,7,681,1430.9811369323036,4800.0,6810,474.9760803260227,539.6001001859472,12.572307692307692,0.8560837820199053,1.0,1.0,0.1741744455409863
Kimi K3,7,752,1488.6109678717396,5100.0,7520,505.23078802850995,563.9368153596554,13.750857142857143,0.8578512854609929,1.0,1.0,0.18222977862641843
DeepSeek V4.1 Flash,2,1,72.60812885728112,1800.0,130,13.772562600609154,15.480615076571643,1,0.47692307692307695,0.4298328634614183,0.4298328634614183,0.013197054616741198
DeepSeek V4.1 Flash,2,2,134.459376801224,1000.0,134,14.892704742619106,18.605593206791163,1.0076335877862594,0.48737373737373735,0.7929086179543013,0.7929086179543013,0.02032694352757153
DeepSeek V4.1 Flash,2,3,139.3507112879414,950.0,131,21.580588820364067,25.345758953921795,1.0091264667535853,0.491025641025641,0.8214985008601303,0.8214985008601303,0.021342251755642343
DeepSeek V4.1 Flash,2,4,171.20037005848823,800.0,136,23.416920270501134,28.570737084141285,1.0193050193050193,0.5,0.9698964493626361,0.9698964493626361,0.02625190870207108
DeepSeek V4.1 Flash,2,5,177.16566729834352,750.0,132,28.231717662545666,34.52645014769408,1.0284552845528456,0.458994708994709,0.9438057304802654,0.9438057304802654,0.024967986667366347
DeepSeek V4.1 Flash,2,6,193.37779021363616,700.0,135,30.79877026097945,37.773424274021224,1.0356200527704484,0.5318066157760815,0.985208440472366,0.985208440472366,0.031466232205124706
