scenario,system_prefix_duplicate_fraction,family_context_duplicate_fraction,effective_context_tokens_per_agent,model,node_count,agent_count,tokens_per_second,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,maximum_network_link_busy_fraction
system-90-family-70,0.9,0.7,55437.5,DeepSeek V4.1 Flash,7,32,878.5911322706569,34.87267116429668,41.66794904475489,1.2209660842754368,0.016689378721537904
system-90-family-70,0.9,0.7,55266.30434782609,DeepSeek V4.1 Flash,7,46,1101.1714062258582,41.23845605964949,50.25283533653125,1.3986765922249793,0.02023297193677863
system-90-family-70,0.9,0.7,55139.70588235294,DeepSeek V4.1 Flash,7,68,1228.086854808616,52.228267949931464,63.28159275251347,1.6410071942446043,0.024150890060855818
system-90-family-70,0.9,0.7,55055.0,DeepSeek V4.1 Flash,7,100,1524.6536864193247,62.84047525008664,74.5086697412512,2.124123422159888,0.025635454088011784
system-90-family-70,0.9,0.7,55015.625,DeepSeek V4.1 Flash,7,147,1758.67393742442,74.74677213369934,89.23391651014406,2.959731543624161,0.03398571751134695
system-90-family-70,0.9,0.7,55015.625,DeepSeek V4.1 Flash,7,215,2197.239837116301,92.86647627466627,108.33909243663352,3.8768028846153846,0.03728388463524921
system-90-family-70,0.9,0.7,55015.625,DeepSeek V4.1 Flash,7,316,2403.329619684554,116.79026893450012,142.40711421877128,5.498489425981873,0.04271311076624296
system-90-family-70,0.9,0.7,55015.625,DeepSeek V4.1 Flash,7,464,2807.084438875469,150.486675493607,165.94404923735738,7.932763532763532,0.047904847175987385
system-90-family-70,0.9,0.7,55015.625,DeepSeek V4.1 Flash,7,681,2898.073139719507,205.65707289059674,239.55343151431512,10.770257387988561,0.054561500622466425
system-90-family-70,0.9,0.7,55015.625,DeepSeek V4.1 Flash,7,1000,3200.549583058702,281.7837471595476,308.89693016426656,15.537590113285273,0.055750453200636915
system-90-family-70,0.9,0.7,55015.625,DeepSeek V4.1 Flash,7,1468,3433.902536757695,395.63306585579977,425.026786998891,21.740183792815372,0.06185658639623106
system-90-family-70,0.9,0.7,55015.625,DeepSeek V4.1 Flash,7,1506,3171.0890653878955,406.99016192242823,441.4892387866962,21.946887244231608,0.05965709332380944
system-95-family-70,0.95,0.7,100000.0,DeepSeek V4.1 Flash,7,1,69.59612277559799,14.36861652802623,15.11649481224048,1,0.00461340823149214
system-95-family-70,0.95,0.7,76500.0,DeepSeek V4.1 Flash,7,2,144.10958567568161,13.888235009195581,15.28103267812854,1.001303780964798,0.005365584103530116
system-95-family-70,0.95,0.7,68666.66666666666,DeepSeek V4.1 Flash,7,3,215.42116784989568,13.919758085144222,15.623384090683519,1.0013351134846462,0.006455227987601509
system-95-family-70,0.95,0.7,64750.0,DeepSeek V4.1 Flash,7,4,278.13923321846806,14.378005652691614,18.091047490369053,1.0050251256281406,0.006546338676645904
system-95-family-70,0.95,0.7,62400.0,DeepSeek V4.1 Flash,7,5,343.9736258923812,14.613317747253124,17.314742275793254,1.0090556274256144,0.009285038986469884
system-95-family-70,0.95,0.7,60833.333333333336,DeepSeek V4.1 Flash,7,6,394.69469055858707,15.062570284752857,17.8281972616814,1.0141388174807198,0.007887257873049457
system-95-family-70,0.95,0.7,59714.28571428571,DeepSeek V4.1 Flash,7,7,430.23379460733173,15.834132035797252,19.10026328014961,1.0134048257372654,0.009101242292684757
system-95-family-70,0.95,0.7,58875.0,DeepSeek V4.1 Flash,7,8,459.6681942751134,17.17339125570314,20.895172287255168,1.0114942528735633,0.009724426546439072
system-95-family-70,0.95,0.7,57700.0,DeepSeek V4.1 Flash,7,10,503.6254147668654,19.634037716535936,24.269863490369083,1.0301204819277108,0.011129501578080481
system-95-family-70,0.95,0.7,56133.333333333336,DeepSeek V4.1 Flash,7,15,630.9963550889996,23.386900981597165,29.32198811713505,1.0637254901960784,0.013551707416331169
system-95-family-70,0.95,0.7,55136.36363636364,DeepSeek V4.1 Flash,7,22,717.6543979279343,28.422020010883205,34.804174659594935,1.1330472103004292,0.015081469769550118
system-95-family-70,0.95,0.7,54468.75,DeepSeek V4.1 Flash,7,32,898.7485961303536,34.498462936218495,40.554371533631446,1.2230142566191446,0.016931876034199975
system-95-family-70,0.95,0.7,54288.04347826087,DeepSeek V4.1 Flash,7,46,1092.2264476507173,41.012735926792004,49.25054409078181,1.415296052631579,0.021284564911205936
system-95-family-70,0.95,0.7,54154.41176470588,DeepSeek V4.1 Flash,7,68,1235.2191058397527,51.53453466957138,63.61942318867129,1.6810035842293907,0.024500003249154592
system-95-family-70,0.95,0.7,54065.0,DeepSeek V4.1 Flash,7,100,1551.2545453721934,62.33540282801412,73.39586985300255,2.131670131670132,0.026591150935840878
system-95-family-70,0.95,0.7,54023.4375,DeepSeek V4.1 Flash,7,147,1768.809364193355,74.0663130879851,86.75816483733385,2.9676452965847813,0.0331625666348062
system-95-family-70,0.95,0.7,54023.4375,DeepSeek V4.1 Flash,7,215,2221.4615291162945,92.02234449315311,107.49851131663347,3.876794258373206,0.03722197155944412
system-95-family-70,0.95,0.7,54023.4375,DeepSeek V4.1 Flash,7,316,2683.2134353394226,114.52253373249935,138.18953050392346,5.580994583948794,0.044242378057876924
system-95-family-70,0.95,0.7,54023.4375,DeepSeek V4.1 Flash,7,464,2839.9541582499232,148.7660971909704,163.17758620124127,7.9223463687150835,0.04728664573384394
system-95-family-70,0.95,0.7,54023.4375,DeepSeek V4.1 Flash,7,681,3386.297350623635,200.2743124429722,219.9621729731487,11.007543103448276,0.05551718935511066
system-95-family-70,0.95,0.7,54023.4375,DeepSeek V4.1 Flash,7,1000,3288.188846099021,277.8327436915241,304.99658523415064,15.493298969072164,0.05707914152793665
system-95-family-70,0.95,0.7,54023.4375,DeepSeek V4.1 Flash,7,1468,3297.0765546499083,390.38600166739116,419.5849219503062,21.802490339201373,0.06205436597550212
system-95-family-70,0.95,0.7,54023.4375,DeepSeek V4.1 Flash,7,1533,3309.2391995664047,406.5924384660216,439.4522083887645,23.14429383471797,0.061477358266173475
system-99-family-70,0.99,0.7,100000.0,DeepSeek V4.1 Flash,7,1,69.59612277559799,14.36861652802623,15.11649481224048,1,0.00461340823149214
system-99-family-70,0.99,0.7,76100.0,DeepSeek V4.1 Flash,7,2,144.22309364686433,13.877312342528938,15.270110011461913,1.001303780964798,0.005365517921604444
system-99-family-70,0.99,0.7,68133.33333333333,DeepSeek V4.1 Flash,7,3,215.64877431472067,13.905059671064224,15.608802330683499,1.0013315579227697,0.006455066746968905
system-99-family-70,0.99,0.7,64150.0,DeepSeek V4.1 Flash,7,4,278.48273684823073,14.36026658502244,18.058279490369053,1.0049937578027466,0.006658981109283309
system-99-family-70,0.99,0.7,61760.0,DeepSeek V4.1 Flash,7,5,334.9855318300899,14.893292284287543,18.25575762759474,1.0065530799475753,0.00971313525063564
system-99-family-70,0.99,0.7,60166.66666666667,DeepSeek V4.1 Flash,7,6,395.1747253236666,15.044384044752853,17.810011021681404,1.0141206675224648,0.007910847595913923
system-99-family-70,0.99,0.7,59028.57142857143,DeepSeek V4.1 Flash,7,7,429.9573160916551,16.00911894112984,19.604977415039865,1.015047879616963,0.008519746879404535
system-99-family-70,0.99,0.7,58175.0,DeepSeek V4.1 Flash,7,8,461.7958604290787,17.13320646500379,20.628702425259313,1.0140485312899106,0.01071427051260124
system-99-family-70,0.99,0.7,56980.0,DeepSeek V4.1 Flash,7,10,504.5959281508543,19.59613056257909,24.230541890369057,1.0300120048019208,0.01112793717730942
system-99-family-70,0.99,0.7,55386.66666666667,DeepSeek V4.1 Flash,7,15,632.0990238012995,23.350754280258286,29.945122042998165,1.0647130647130647,0.013549261393883249
system-99-family-70,0.99,0.7,54372.72727272727,DeepSeek V4.1 Flash,7,22,717.1382618420828,28.385872979125775,34.74190496657607,1.1324786324786325,0.015075933135623661
system-99-family-70,0.99,0.7,53693.75,DeepSeek V4.1 Flash,7,32,889.7173224685989,34.54460964714126,41.35761552579758,1.2238341968911917,0.016670998770796905
system-99-family-70,0.99,0.7,53505.434782608696,DeepSeek V4.1 Flash,7,46,1069.2840963187787,41.46868506537019,49.612142282369255,1.3844262295081968,0.02169940706075878
system-99-family-70,0.99,0.7,53366.17647058824,DeepSeek V4.1 Flash,7,68,1234.9869624531898,52.02596639834004,64.42406225933063,1.644412191582003,0.024111158878142653
system-99-family-70,0.99,0.7,53273.0,DeepSeek V4.1 Flash,7,100,1549.1917507022386,62.6745905796965,76.66056504755323,2.093839953943581,0.02666353500118142
system-99-family-70,0.99,0.7,53229.6875,DeepSeek V4.1 Flash,7,147,1786.9543190860086,73.72114946598144,88.28003624677486,2.9576968272620445,0.03312683518782717
system-99-family-70,0.99,0.7,53229.6875,DeepSeek V4.1 Flash,7,215,2258.8958104965973,91.44586973087684,107.14153543822343,3.881275841701122,0.038357891617320186
system-99-family-70,0.99,0.7,53229.6875,DeepSeek V4.1 Flash,7,316,2768.632127717368,113.79112335764718,136.28910496472102,5.556534508076358,0.04369800557274156
system-99-family-70,0.99,0.7,53229.6875,DeepSeek V4.1 Flash,7,464,3141.0993568889357,146.94973324385788,162.1378335438317,7.945205479452055,0.0503832788397563
system-99-family-70,0.99,0.7,53229.6875,DeepSeek V4.1 Flash,7,681,2979.6762055152553,200.93885590461275,237.41791986099005,10.760649087221095,0.05328319914705999
system-99-family-70,0.99,0.7,53229.6875,DeepSeek V4.1 Flash,7,1000,3326.1075660687175,274.79894219496526,301.94457739977577,15.496391752577319,0.058986162583189915
system-99-family-70,0.99,0.7,53229.6875,DeepSeek V4.1 Flash,7,1468,3258.665856154337,386.4315765657371,415.984194379436,21.894499549143372,0.06206999880156776
system-99-family-70,0.99,0.7,53229.6875,DeepSeek V4.1 Flash,7,1556,3279.796046918004,406.76753416636467,437.7337229888165,22.87858719646799,0.06357555800980765
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,1,66.33910492209075,15.074065306946922,15.702337759854675,1.0,0.00397602055493349
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,2,132.12096567763356,15.107886548753966,16.554359627581,1.0007698229407236,0.004658833468441852
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,3,195.53309700957894,15.313998466965481,16.492710825991512,1.0007468259895445,0.005318372325293166
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,4,259.96691792471273,15.392770605678823,16.88789735905993,1.0048465266558966,0.0065007478943013685
